JSON_file,title,author,title_verified,author_verified,isbn
pg_3348.json,THE ESSENTIAL ERASMUS,,THE ESSENTIAL ERASMUS,,9789994311606
pg_1966.json,SYMBOLS OF TRANSFORMATION,"Jung, C.G.",Symbols of transformation,Carl Gustav Jung PORTUGUES,ISBN Not Found
pg_3245.json,THEOLOGIAN,Schocken,THEOLOGIAN,Schocken,0631153713
pg_1862.json,DISCOVERY OF THE TOMB OF TUTANKHAMEN,"Carter, Howard & A.C. Mace",The Discovery of the Tomb of Tutankhamen,"Carter, Howard",0486235009
pg_1679.json,"AUBREY THE LATER WORK OF
Aubrey Bear",Brutici,"AUBREY THE LATER WORK OF
Aubrey Bear",Brutici,ISBN Not Found
pg_3358.json,CHRISTIANITY,"Plessix Gray, Francine du",CHRISTIANITY,Plessix Gray,0006280870
pg_1975.json,A Reconnaissance,Regnery/Gateway,A Reconnaissance,Regnery/Gateway,0343558823
pg_3254.json,APOCRYPHA Jewish Literature of the Hellenistic Age.,"De Lange, Nicholas",APOCRYPHA Jewish Literature of the Hellenistic Age.,Nicholas,ISBN Not Found
pg_1871.json,THE TREASURES OF TUTANKHAMUN,Penguin 1977,THE TREASURES OF TUTANKHAMUN,Penguin 1977,0140042873
pg_1984.json,THE GRASP OF CONSCIOUSNESS,"Piaget, Jean","The grasp of consciousness (La prise de conscience, engl. ). Action and concept in the young child",Jean Piaget,9780674360341
pg_3263.json,JUDAISM,"Goldin, Judah, ed",JUDAISM,Not Found,0429462379
pg_3375.json,ristia,hristianity,ristia,hristianity,9789525026580
pg_1993.json,WHAT FREUD REALLY SAID,"Stafford-Clark, David",What Freud really said,David Stafford-Clark,1405514299
pg_3271.json,MAN IS NOT ALONE,"Farrar, Straus & Giroux",MAN IS NOT ALONE,Straus & Giroux,9780374938796
pg_1888.json,Egypt Anc,Holt Rinehart Winston SUNFLOWER,Egypt Anc,Holt Rinehart Winston SUNFLOWER,9780431004853
pg_3385.json,FREUD AND THE PROBLEM OF GOD,"Kung, Hans",Freud and the Problem of God,Hans Kung,0300025971
pg_1898.json,Arpag Mekhitarian,Rizzoli,Arpag Mekhitarian,Rizzoli,ISBN Not Found
pg_3395.json,MERE CHRISTIANITY,"Lewis, C.S.",Mere Christianity,C. S. Lewis,0006280870
pg_1611.json,,WASHINGTON SQUARE,,WASHINGTON SQUARE,ISBN Not Found
pg_1907.json,ANCIENT EGYPT - A SURVEY,Elfriede Preger,Ancient Egypt—A Survey,Elfriede Preger,0897080017
pg_1803.json,THE BRIDE & THE BACHELORS,"Tomkins, Calvin",The bride & the bachelors,Calvin Tomkins,9780748605712
pg_1620.json,of Illinois,Daedalus,of Illinois,Daedalus,ISBN Not Found
pg_3299.json,Macmillan,SOCIOLOGY,Macmillan,SOCIOLOGY,ISBN Not Found
pg_1916.json,Routledge,Judy Kucera,Routledge,Judy Kucera,9781135870157
